delta,start,objective,theta,software_success,projected_grad_inf,active_bounds,policy_effect,message,lr,in_95_set
0.8999999999999999,2,342.39302472973134,"[1.0395340282911214, 0.779344723341811, 0.25843142717174733, 0.8999999999999999, 0.97]",True,1.4890589941085608e-06,3:upper,0.07256569641158271,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2819454782750199,True
0.95,0,342.38862850402893,"[1.06217597189394, 0.7957553558431881, -0.5405937230515436, 0.95, 0.1309332660715887]",True,4.07377672795306e-06,,0.07272296609016056,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2731530268702045,True
0.95,1,342.38862850403314,"[1.0621765246811028, 0.7957559741856604, -0.5405898961337484, 0.95, 0.13093730883502888]",True,2.205223780560317e-05,,0.0727229803661387,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2731530268786173,False
0.95,2,342.39322409377496,"[1.0398389662582794, 0.7795878168181071, 0.2572939735220237, 0.95, 0.97]",True,7.859047097547034e-07,3:upper,0.07256025512341478,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28234420636226787,True
0.9999999999999999,0,342.3879588737752,"[1.0659210531074195, 0.7984768199056579, -0.5798480854024736, 0.9999999999999999, 0.1350380986443859]",True,1.0833673873555938e-06,,0.07274537712461905,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2718137663626976,True
0.9999999999999999,1,342.38795887388454,"[1.0659254905186448, 0.7984797281627307, -0.5798233994650831, 0.9999999999999999, 0.13506119438983646]",True,7.522273246385325e-05,,0.0727453680448776,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2718137665814311,False
0.9999999999999999,2,342.3934337448916,"[1.0401471114416645, 0.7798343954314135, 0.25618246501896175, 0.9999999999999999, 0.97]",True,1.5919850770984567e-08,3:upper,0.0725543789042344,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28276350859550803,True
1.05,0,342.3871947786574,"[1.0699306050887523, 0.8013867829098208, -0.6190551252507425, 1.05, 0.13882947329124515]",True,5.147165501817597e-06,,0.07277017678112416,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2702855761270939,True
1.05,1,342.3871947786555,"[1.0699312010217517, 0.801387379430132, -0.6190530161695361, 1.05, 0.1388317028717662]",True,9.105859568592223e-07,,0.07277020015492519,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27028557612334225,True
1.05,2,342.3936530496398,"[1.0404574662986383, 0.7800835134552223, 0.25509738041694646, 1.05, 0.97]",True,1.3381527441680419e-07,3:upper,0.07254805786686873,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2832021180919355,True
1.0999999999999999,0,342.386330731214,"[1.0742139186689812, 0.8044910887090169, -0.6581918371302699, 1.0999999999999999, 0.1423733183788565]",True,4.954777426569024e-06,,0.07279746488063615,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.26855748124035017,True
1.0999999999999999,1,342.38633073120866,"[1.0742133723543044, 0.8044914353908068, -0.6581950294311328, 1.0999999999999999, 0.14237145697587686]",True,1.449244277917927e-07,,0.0727975232271559,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2685574812296636,True
1.0999999999999999,2,342.38633073120866,"[1.0742133228056399, 0.804491403027366, -0.6581951322095976, 1.0999999999999999, 0.14237136014644225]",True,8.303383116636809e-07,,0.07279752212392547,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2685574812296636,True
1.15,0,342.3853614168557,"[1.078774940580123, 0.8077945354425133, -0.6972598655046766, 1.15, 0.14570607900010038]",True,2.6827716241850652e-05,,0.0728274963783255,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2666188525237203,False
1.15,1,342.3853614168595,"[1.0787758352658448, 0.8077948339653762, -0.6972568402104747, 1.15, 0.14570823006805034]",True,4.2602821623827225e-05,,0.07282748383767819,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2666188525313373,False
1.15,2,342.38536141685125,"[1.078774719134814, 0.8077938643220827, -0.6972615782073494, 1.15, 0.14570417432398614]",True,5.233212203137327e-06,,0.07282746160639902,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.26661885251485273,True
1.2,0,342.38428171279725,"[1.0836227919157069, 0.8112992343780686, -0.7362393360089491, 1.2, 0.1488687323500243]",True,9.640390346010719e-07,,0.07286008304202596,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2644594444068389,True
1.2,1,342.3842817127971,"[1.0836228996003952, 0.8112992440098098, -0.7362385648869948, 1.2, 0.14886925704329662]",True,6.836924693054414e-08,,0.07286007621019437,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2644594444064978,True
1.2,2,342.38428171279713,"[1.0836230187608415, 0.8112993149582162, -0.7362381607055731, 1.2, 0.1488695681823267]",True,1.8275531008526968e-06,,0.07286007684539574,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2644594444066115,True
1.25,0,342.383086706207,"[1.088765339686435, 0.8150110052912214, -0.7751105371695346, 1.25, 0.1518990673962846]",True,4.593500244620685e-05,,0.07289531733873576,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.26206943122633675,False
1.25,1,342.38308670616476,"[1.08876508587969, 0.8150125629404454, -0.7751161480592522, 1.25, 0.15189709487499542]",True,2.31223570379413e-06,,0.0728954864316386,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2620694311418674,True
1.25,2,342.3830867061647,"[1.0887651154529843, 0.8150126814739431, -0.7751159775576764, 1.25, 0.1518973336189824]",True,3.1437444816262428e-06,,0.07289549368080285,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.26206943114175374,True
1.3,0,342.3817717111404,"[1.0942051948838631, 0.8189358110044737, -0.8138997539168601, 1.3, 0.1548010901292955]",True,6.0310565104693126e-05,,0.07293374331553108,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.25943944109315,False
1.3,1,342.3817717110622,"[1.0942090089720755, 0.8189389542721711, -0.8138828583110024, 1.3, 0.15481421219726327]",True,9.889441212607153e-07,,0.07293379241209338,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2594394409367169,True
1.3,2,342.3817717110627,"[1.0942090700468106, 0.8189389196365836, -0.8138830701576169, 1.3, 0.1548139681346142]",True,1.1260549813929543e-05,,0.07293379060636483,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2594394409377401,True
1.35,0,342.380332284471,"[1.0999621840585327, 0.8230825267747924, -0.85252991313471, 1.35, 0.1576404415964925]",True,2.2814917864710793e-05,,0.07297503442519214,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.25656058775439305,False
1.35,1,342.3803322844672,"[1.099962424296001, 0.8230830213591372, -0.8525277925347438, 1.35, 0.157642108338272]",True,1.4452002350395787e-06,,0.07297504930018242,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.25656058774677604,True
1.35,2,342.3803322844673,"[1.0999624728714186, 0.8230829835973551, -0.8525276525813648, 1.35, 0.1576421349620765]",True,1.7206844060702053e-06,,0.07297504467255735,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2565605877468897,True
1.4,0,342.3787642407303,"[1.1060329605507886, 0.8274498197625303, -0.8910416633572668, 1.4, 0.16039839622222102]",True,7.039091859395441e-07,,0.07301935290553685,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2534245002728994,True
1.4,1,342.3787642407317,"[1.1060325045724337, 0.8274497462024508, -0.8910432969275942, 1.4, 0.16039746301056418]",True,9.907476341997068e-06,,0.07301936684132894,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2534245002757416,True
1.4,2,342.37876424073045,"[1.1060330846322644, 0.8274498686873263, -0.8910415618835388, 1.4, 0.1603984569416527]",True,2.7841134961903435e-06,,0.07301935423912588,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2534245002732405,True
1.45,0,342.3770636645659,"[1.1124286245550217, 0.8320442458266581, -0.9294145927396404, 1.45, 0.1630981575034916]",True,9.320469650520025e-07,,0.07306677108628794,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2500233479441931,True
1.45,1,342.3770636645721,"[1.1124284521559313, 0.8320442569487629, -0.9294175307024556, 1.45, 0.16309659092365955]",True,2.6380445462326207e-05,,0.07306680129993749,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.250023347956585,False
1.45,2,342.37706366456587,"[1.112428664408394, 0.8320442728556203, -0.929414568677981, 1.45, 0.16309818049302438]",True,5.013298309819447e-08,,0.07306677240336426,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.25002334794407943,True
