index,start_id,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_max,optimizer_success,accepted,status,message,nit,distance_from_best
0.3,0,"[-1.1866582153270964, 1.2361542007845425, -0.7112406985452873, 0.7267361570631062, 0.5389023033850612]","[-1.360865900476307, 1.215071916134179, -0.8786802788566582, 0.6685380464013789, 0.539552916050434]",1317.2133545657748,"[-0.00015511278911706228, -9.612411344746905e-05, 6.969361418462938e-05, -3.911489125130174e-05, 3.323461702642305e-05]","[-0.00015511278911706228, -9.612411344746905e-05, 6.969361418462938e-05, -3.911489125130174e-05, 3.323461702642305e-05]",0.00015511278911706228,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,3.190052666468546e-10
0.3,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-1.360863766687411, 1.2150735097647156, -0.878679589381231, 0.6685408158371691, 0.539552755762022]",1317.213354565466,"[-1.6372679112031108e-05, 3.166292280079204e-05, 2.2294042745230058e-05, -3.550544402131095e-05, 1.155952980447239e-06]","[-1.6372679112031108e-05, 3.166292280079204e-05, 2.2294042745230058e-05, -3.550544402131095e-05, 1.155952980447239e-06]",3.550544402131095e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,1.0231815394945443e-11
0.3,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-1.3608633583381053, 1.2150738121679252, -0.8786800046945662, 0.6685415317215723, 0.5395526540261532]",1317.213354565458,"[2.704698505873182e-05, 2.8023371239957045e-05, -1.4366692704825823e-05, -1.4901269910438941e-05, -1.255095030794351e-05]","[2.704698505873182e-05, 2.8023371239957045e-05, -1.4366692704825823e-05, -1.4901269910438941e-05, -1.255095030794351e-05]",2.8023371239957045e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,2.2737367544323206e-12
0.3,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-1.3608637327093611, 1.2150736743334447, -0.8786801767279979, 0.6685412112110226, 0.539552644682774]",1317.2133545654558,"[-6.814895776585672e-07, 3.7738384643298642e-06, -2.3863781208888213e-06, -5.672924014987757e-06, -2.3391413720208476e-05]","[-6.814895776585672e-07, 3.7738384643298642e-06, -2.3863781208888213e-06, -5.672924014987757e-06, -2.3391413720208476e-05]",2.3391413720208476e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,0.0
0.3,4,"[-1.8, 0.7884573603642703, -0.916290731874155, 0.5877866649021191, 0.1]","[-1.3608620364888888, 1.2150721849605235, -0.878678256375563, 0.6685403376517296, 0.5395526911476708]",1317.213354565472,"[-1.2741295220664028e-05, -4.929812570309421e-05, 1.1227835390315022e-06, 1.7230886957264602e-05, 1.5265500255878806e-05]","[-1.2741295220664028e-05, -4.929812570309421e-05, 1.1227835390315022e-06, 1.7230886957264602e-05, 1.5265500255878806e-05]",4.929812570309421e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.6143530956469476e-11
0.3,5,"[-0.2, -0.6931471805599453, 0.5306282510621704, -0.6931471805599453, 1.0]","[-1.360862795855659, 1.2150731809467894, -0.878678920740984, 0.6685409533724617, 0.5395527553545538]",1317.2133545654583,"[1.043671670686308e-05, 2.7359419572335927e-05, 4.954991137395837e-06, -2.6069370026249317e-05, 2.0087404125401775e-05]","[1.043671670686308e-05, 2.7359419572335927e-05, 4.954991137395837e-06, -2.6069370026249317e-05, 2.0087404125401775e-05]",2.7359419572335927e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,2.5011104298755527e-12
0.35,0,"[-1.3608637327093611, 1.2150736743334447, -0.8786801767279979, 0.6685412112110226, 0.539552644682774]","[-1.5401126791447366, 1.2051650018654718, -1.0842196284231467, 0.6151976029660061, 0.5397701451923538]",1317.0870067185883,"[2.462218063215005e-06, 3.2716532855549564e-05, 8.636300754538695e-06, -2.43331179419215e-05, -3.603156279119446e-05]","[2.462218063215005e-06, 3.2716532855549564e-05, 8.636300754538695e-06, -2.43331179419215e-05, -3.603156279119446e-05]",3.603156279119446e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,1.3642420526593924e-12
0.35,1,"[-2.0209576691605418, 1.2070154455693403, -2.0, 0.4844749849827514, 0.5381854602783698]","[-1.5401128296730435, 1.2051652579745757, -1.0842197567099054, 0.6151978337745516, 0.5397702255632308]",1317.0870067185892,"[-5.427259784696048e-06, 2.90586629439614e-05, 1.5069991104788016e-05, -8.639976080360157e-06, -1.703571398747883e-05]","[-5.427259784696048e-06, 2.90586629439614e-05, 1.5069991104788016e-05, -8.639976080360157e-06, -1.703571398747883e-05]",2.90586629439614e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,2.2737367544323206e-12
0.35,2,"[-1.2, 0.0, -0.5108256237659907, 0.26236426446749106, 0.4]","[-1.5401136370178585, 1.2051654673834193, -1.0842212854166131, 0.615197850848122, 0.5397702483589495]",1317.087006718587,"[1.6980951495604302e-05, 2.274684756990137e-05, -1.1509486594007967e-05, -2.46490571775837e-05, 4.664926510855594e-06]","[1.6980951495604302e-05, 2.274684756990137e-05, -1.1509486594007967e-05, -2.46490571775837e-05, 4.664926510855594e-06]",2.46490571775837e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,0.0
0.35,3,"[-0.6, 0.4054651081081644, 0.0, -0.35667494393873245, 0.8]","[-1.5401115653336552, 1.2051643344994167, -1.0842181938162878, 0.6151973539387731, 0.5397701778701139]",1317.0870067185929,"[-6.414468114890326e-06, -1.5820667007648392e-06, 1.2003987825970341e-05, 8.985235027125782e-07, -1.5468822093467338e-05]","[-6.414468114890326e-06, -1.5820667007648392e-06, 1.2003987825970341e-05, 8.985235027125782e-07, -1.5468822093467338e-05]",1.5468822093467338e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,5.9117155615240335e-12
