estimator,start,initial,terminal,objective,raw_gradient,projected_gradient,projected_gradient_inf,active_bounds,solver_success,status,message,distance_from_best_objective,sigma_index,accepted
profile_sigma_0.10,4,"[0.7263886619572629, 0.021629831611074013, -0.8883400309131015, -0.3659273525584524, -0.6094856808492699]","[0.6449096202045923, 0.28693247323833443, -0.7144082665064396, -0.5283819719882524, -0.622349664990648]",1748.0787319590577,"[0.0, 4.54747351125823e-05, 0.00013642420458044046, 4.547473486014681e-05, 6.821210229022023e-05]","[0.0, 4.54747351125823e-05, 0.00013642420458044046, 4.547473486014681e-05, 6.821210229022023e-05]",0.00013642420458044046,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1141310096718371e-11,0.1,True
profile_sigma_0.10,5,"[0.4771789514037612, 0.2649850262375404, -0.47312867941746384, -0.836241580317994, -0.42203706230985416]","[0.6449107920681245, 0.2869307326831808, -0.7144094835292666, -0.5283827020942667, -0.6223474508344985]",1748.078731960573,"[-6.821210229022023e-05, -0.0005456968213509877, -0.0007730704926224959, -0.0019781509664163863, -0.00011368683715036704]","[-6.821210229022023e-05, -0.0005456968213509877, -0.0007730704926224959, -0.0019781509664163863, -0.00011368683715036704]",0.0019781509664163863,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5263594832504168e-09,0.1,True
profile_sigma_0.20,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6457090109592246, 0.2907399549511853, -0.7239993056793553, -0.5336637277357937, -0.6286017009575736]",1745.0957839853836,"[-0.0013187673109442577, -0.0005002220862384053, 0.004729372425455269, -0.00513864503919659, -0.0013642420458044044]","[-0.0013187673109442577, -0.0005002220862384053, 0.004729372425455269, -0.00513864503919659, -0.0013642420458044044]",0.00513864503919659,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9207845980417915e-08,0.2,False
profile_sigma_0.20,1,"[0.4208497890853341, 0.8284369763667742, -0.4373902613130196, -0.6029776686828381, -0.8661378597718007]","[0.6457219747288718, 0.290741226400361, -0.7240034692038722, -0.5336661372887058, -0.6285919894389522]",1745.0957839662651,"[0.00013642420458044046, 4.54747351125823e-05, -4.547473486014681e-05, 0.0010686562692134502, 2.2737367430073406e-05]","[0.00013642420458044046, 4.54747351125823e-05, -4.547473486014681e-05, 0.0010686562692134502, 2.2737367430073406e-05]",0.0010686562692134502,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.93578544491902e-11,0.2,True
profile_sigma_0.20,2,"[0.7862849721097293, 0.2028050808338548, -1.0208969381237833, -0.4246164550458915, -0.6999452703646467]","[0.6457188399541468, 0.29073867979624596, -0.7240041726321684, -0.5336661086786075, -0.6285880307175717]",1745.0957839669104,"[-0.00013642420458044046, 2.273736755629115e-05, -0.0003637978788811745, -0.00022737367430073407, 0.0002728484091608809]","[-0.00013642420458044046, 2.273736755629115e-05, -0.0003637978788811745, -0.00022737367430073407, 0.0002728484091608809]",0.0003637978788811745,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.346443453570828e-10,0.2,True
profile_sigma_0.20,3,"[0.5951279660445357, 0.4343261822336375, -0.4940819915351335, -0.6029597985893977, -0.6837343827883814]","[0.6457219046923839, 0.29074096389185067, -0.7240038533889324, -0.533666421316936, -0.6285904007241027]",1745.0957839662676,"[-2.2737367430073406e-05, 0.00011368683778145576, -0.00011368683715036704, 6.821210229022023e-05, 0.00015916157201051386]","[-2.2737367430073406e-05, 0.00011368683778145576, -0.00011368683715036704, 6.821210229022023e-05, 0.00015916157201051386]",0.00015916157201051386,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.185896487906575e-11,0.2,True
profile_sigma_0.20,4,"[0.49996462204207137, -0.28554867389887817, -0.8620395582276464, -0.612035414385778, -1.0270799768690264]","[0.6457230746074485, 0.29074133590091233, -0.724003605533212, -0.5336665121626467, -0.6285913276704529]",1745.0957839661758,"[0.0, -2.273736755629115e-05, 2.2737367430073406e-05, 2.2737367430073406e-05, 2.2737367430073406e-05]","[0.0, -2.273736755629115e-05, 2.2737367430073406e-05, 2.2737367430073406e-05, 2.2737367430073406e-05]",2.273736755629115e-05,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.2,True
profile_sigma_0.20,5,"[0.5781638699942226, 0.01287048144880587, -0.8354474117756205, -0.5378977727578808, -0.547688021524757]","[0.6457163145456496, 0.29073715820994933, -0.7240030013049076, -0.5336653399684064, -0.6285899400497451]",1745.0957839672612,"[-0.00015916157201051386, -0.0003410605133443673, 0.0005002220834616149, -0.00022737367430073407, -0.00011368683715036704]","[-0.00015916157201051386, -0.0003410605133443673, 0.0005002220834616149, -0.00022737367430073407, -0.00011368683715036704]",0.0005002220834616149,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0854819265659899e-09,0.2,True
profile_sigma_0.30,0,"[0.6590993567403443, 0.3096406450454383, -0.770894139448943, -0.5590131448096968, -0.6566919837007335]","[0.6488660067777937, 0.2971328219751653, -0.7404766866609925, -0.5425873462694396, -0.6386562122235265]",1741.854839221076,"[-0.0003637978788811745, -0.00022737367556291153, 0.0019554135989863133, -0.0015461409852449918, -0.000727595757762349]","[-0.0003637978788811745, -0.00022737367556291153, 0.0019554135989863133, -0.0015461409852449918, -0.000727595757762349]",0.0019554135989863133,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.200728653813712e-09,0.3,True
profile_sigma_0.30,1,"[0.5015086500043906, 0.20134823873325755, -0.7386023111567254, -0.5623884486421433, -0.7943922282014994]","[0.6488837630441843, 0.2971298883764425, -0.7404770564373044, -0.5425904671153448, -0.6386382929039924]",1741.8548392268551,"[0.0006593836554721289, 0.0001818989404503292, 0.0008412825949127161, 0.001114131004073597, 0.0010913936366435237]","[0.0006593836554721289, 0.0001818989404503292, 0.0008412825949127161, 0.001114131004073597, 0.0010913936366435237]",0.001114131004073597,[],True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.979885362554342e-09,0.3,True
