seed,market,product,alpha_hat_GMM,price,true_markup,recovered_markup,markup_error,true_mc,recovered_mc,mc_error
48101,8,0,1.4237467945836546,3.0781500484939546,1.2897380068739448,1.0870511625638044,-0.2026868443101404,1.7884120416200098,1.9910988859301502,0.2026868443101404
48101,8,1,1.4237467945836546,2.8133671293435656,1.289738006873939,1.0870511625638044,-0.20268684431013462,1.5236291224696266,1.7263159667797612,0.20268684431013462
48101,9,0,1.4237467945836546,2.7174100050604286,1.2092067419621482,1.0191756679451602,-0.19003107401698793,1.5082032630982805,1.6982343371152684,0.19003107401698793
48101,9,1,1.4237467945836546,3.16158566480445,1.2092067419621486,1.0191756679451602,-0.19003107401698838,1.9523789228423012,2.1424099968592896,0.19003107401698838
48101,10,0,1.4237467945836546,2.7193667320913963,1.2154766936462393,1.0244602747653697,-0.19101641888086962,1.503890038445157,1.6949064573260266,0.19101641888086962
48101,10,1,1.4237467945836546,3.0017962167479966,1.2154766936462396,1.0244602747653695,-0.19101641888087006,1.786319523101757,1.977335941982627,0.19101641888087006
48101,11,0,1.4237467945836546,2.618816138786763,1.221760326125212,1.0297564123956366,-0.19200391372957526,1.3970558126615509,1.5890597263911261,0.19200391372957526
48101,11,1,1.4237467945836546,3.0055901135722487,1.2217603261252112,1.0297564123956366,-0.1920039137295746,1.7838297874470375,1.975833701176612,0.1920039137295746
48101,12,0,1.4237467945836546,2.8282787909016243,1.258797878185867,1.0609733834482356,-0.19782449473763153,1.5694809127157572,1.7673054074533887,0.19782449473763153
48101,12,1,1.4237467945836546,3.053436643370945,1.2587978781858669,1.0609733834482356,-0.1978244947376313,1.7946387651850781,1.9924632599227095,0.1978244947376313
48101,13,0,1.4237467945836546,2.4818106205648176,1.2638913158147158,1.0652663695170446,-0.19862494629767125,1.2179193047501018,1.416544251047773,0.19862494629767125
48101,13,1,1.4237467945836546,2.629401181905707,1.263891315814716,1.0652663695170448,-0.19862494629767125,1.365509866090991,1.5641348123886623,0.19862494629767125
48101,14,0,1.4237467945836546,2.69293368525653,1.2108629162675402,1.0205715686587082,-0.19029134760883193,1.48207076898899,1.672362116597822,0.19029134760883193
48101,14,1,1.4237467945836546,3.021310089737185,1.2108629162675404,1.0205715686587082,-0.19029134760883215,1.8104471734696446,2.0007385210784765,0.19029134760883193
48101,15,0,1.4237467945836546,2.4665262231384846,1.2681747083092458,1.0688766118810593,-0.19929809642818652,1.1983515148292387,1.3976496112574253,0.19929809642818652
48101,15,1,1.4237467945836546,2.6194297221554392,1.268174708309246,1.0688766118810593,-0.19929809642818674,1.3512550138461932,1.55055311027438,0.19929809642818674
48101,16,0,1.4237467945836546,2.977104035412553,1.2801501278020087,1.0789700522638095,-0.20118007553819917,1.6969539076105444,1.8981339831487436,0.20118007553819917
48101,16,1,1.4237467945836546,3.1286154715881156,1.2801501278020095,1.0789700522638097,-0.20118007553819983,1.848465343786106,2.049645419324306,0.20118007553819983
48101,17,0,1.4237467945836546,3.011787039347162,1.2364662872515413,1.0421512802321966,-0.19431500701934468,1.7753207520956207,1.9696357591149654,0.19431500701934468
48101,17,1,1.4237467945836546,2.9584772306500984,1.2364662872515408,1.0421512802321966,-0.19431500701934423,1.7220109433985575,1.9163259504179018,0.19431500701934423
48101,18,0,1.4237467945836546,2.8925447941390483,1.2352492101098311,1.0411254710253852,-0.1941237390844459,1.6572955840292172,1.851419323113663,0.1941237390844459
48101,18,1,1.4237467945836546,2.8294976644573606,1.2352492101098311,1.041125471025385,-0.19412373908444613,1.5942484543475295,1.7883721934319756,0.19412373908444613
48101,19,0,1.4237467945836546,2.977850781527664,1.3133784868533573,1.1069764583279804,-0.20640202852537692,1.6644722946743067,1.8708743231996836,0.20640202852537692
48101,19,1,1.4237467945836546,3.030995588365751,1.3133784868533573,1.1069764583279804,-0.20640202852537692,1.7176171015123938,1.9240191300377707,0.20640202852537692
48101,20,0,1.4237467945836546,3.040122438417407,1.3249463645097646,1.1167264035011502,-0.2082199610086144,1.7151760739076425,1.9233960349162569,0.2082199610086144
48101,20,1,1.4237467945836546,3.1309555080914686,1.3249463645097677,1.1167264035011502,-0.2082199610086175,1.806009143581701,2.0142291045903185,0.2082199610086175
48101,21,0,1.4237467945836546,2.7836639679951767,1.214360765853268,1.0235197189329284,-0.19084104692033965,1.5693032021419087,1.7601442490622483,0.19084104692033965
48101,21,1,1.4237467945836546,2.9121533977796688,1.2143607658532676,1.0235197189329286,-0.19084104692033899,1.6977926319264012,1.8886336788467402,0.19084104692033899
48101,22,0,1.4237467945836546,2.830527306133968,1.1381971236294983,0.9593254598018663,-0.17887166382763198,1.6923301825044696,1.8712018463321016,0.17887166382763198
