seed,scenario,market,root_success,independent_raw_foc_max,finite_difference_profit_gradient_max,independent_solve_price_gap,accepted
48101.0,baseline,44.0,True,1.249000902703301e-16,5.551115123125783e-11,1.1830536550405668e-12,True
48101.0,baseline,45.0,True,7.563394355258879e-16,5.551115123125783e-11,8.628209258176867e-12,True
48101.0,baseline,46.0,True,8.326672684688674e-17,0.0,2.680522470654978e-12,True
48101.0,baseline,47.0,True,1.3530843112619095e-15,5.551115123125783e-11,2.7977620220553945e-14,True
48101.0,baseline,48.0,True,8.1601392309949e-15,5.551115123125783e-11,5.3734794391857577e-14,True
48101.0,baseline,49.0,True,1.1185496973098452e-14,2.7755575615628914e-11,6.039613253960852e-14,True
48101.0,baseline,50.0,True,2.3592239273284576e-16,8.326672684688674e-11,9.14823772291129e-14,True
48101.0,baseline,51.0,True,7.674416657721395e-15,0.0,6.838973831690964e-14,True
48101.0,baseline,52.0,True,1.3183898417423734e-16,2.7755575615628914e-11,2.233768725545815e-13,True
48101.0,baseline,53.0,True,2.525757381022231e-15,0.0,1.1546319456101628e-14,True
48101.0,baseline,54.0,True,5.551115123125783e-17,0.0,7.638334409421077e-14,True
48101.0,baseline,55.0,True,3.122502256758253e-16,2.7755575615628914e-11,2.630295981020936e-11,True
48101.0,baseline,56.0,True,1.131733595727269e-14,5.551115123125783e-11,2.731148640577885e-13,True
48101.0,baseline,57.0,True,3.698430450782553e-15,2.7755575615628914e-11,3.9968028886505635e-14,True
48101.0,baseline,58.0,True,7.632783294297951e-17,2.7755575615628914e-11,2.5309310203169844e-10,True
48101.0,baseline,59.0,True,5.204170427930421e-17,2.7755575615628914e-11,5.695852678400115e-10,True
48101.0,baseline,60.0,True,3.8163916471489756e-17,0.0,5.124860535943299e-10,True
48101.0,baseline,61.0,True,5.2735593669694936e-15,2.7755575615628914e-11,1.7931878204535678e-11,True
48101.0,baseline,62.0,True,4.413136522884997e-15,0.0,2.3092638912203256e-14,True
48101.0,baseline,63.0,True,1.4155343563970746e-15,2.7755575615628914e-11,8.126832540256146e-14,True
48101.0,baseline,64.0,True,1.3877787807814457e-16,2.7755575615628914e-11,7.682743330406083e-14,True
48101.0,baseline,65.0,True,9.672818102046676e-15,0.0,1.2387015857484585e-09,True
48101.0,baseline,66.0,True,2.636779683484747e-16,5.551115123125783e-11,1.3117107400262285e-10,True
48101.0,baseline,67.0,True,5.551115123125783e-17,2.7755575615628914e-11,3.9834802123550617e-13,True
48101.0,baseline,68.0,True,2.7755575615628914e-17,2.7755575615628914e-11,8.613296742510101e-10,True
48101.0,baseline,69.0,True,6.938893903907228e-18,2.7755575615628914e-11,1.6714629680336657e-11,True
48101.0,baseline,70.0,True,1.734723475976807e-16,2.7755575615628914e-11,5.824229987183571e-12,True
48101.0,baseline,71.0,True,2.7755575615628914e-17,2.7755575615628914e-11,3.539391002504999e-13,True
48101.0,baseline,72.0,True,4.163336342344337e-17,5.551115123125783e-11,5.651537016149177e-10,True
48101.0,baseline,73.0,True,3.6914915568786455e-15,0.0,1.687538997430238e-14,True
48101.0,baseline,74.0,True,3.885780586188048e-16,2.7755575615628914e-11,1.9074537505048283e-09,True
48101.0,baseline,75.0,True,3.837208328860697e-15,5.551115123125783e-11,3.907985046680551e-14,True
48101.0,baseline,76.0,True,2.983724378680108e-16,0.0,2.2071233729548112e-13,True
48101.0,baseline,77.0,True,8.326672684688674e-17,2.7755575615628914e-11,2.3096236034803042e-10,True
48101.0,baseline,78.0,True,3.469446951953614e-18,5.551115123125783e-11,8.681944052568724e-13,True
48101.0,baseline,79.0,True,8.326672684688674e-17,2.7755575615628914e-11,9.212186569129699e-12,True
48101.0,baseline,80.0,True,2.7755575615628914e-17,5.551115123125783e-11,6.039613253960852e-14,True
48101.0,baseline,81.0,True,1.1102230246251565e-16,2.7755575615628914e-11,7.847451577447373e-10,True
48101.0,baseline,82.0,True,3.698430450782553e-15,2.7755575615628914e-11,1.18973764173802e-09,True
48101.0,baseline,83.0,True,2.6853519408120974e-15,0.0,1.5797851915522187e-10,True
48101.0,baseline,84.0,True,3.3306690738754696e-16,0.0,5.771827460421264e-12,True
48101.0,baseline,85.0,True,9.381384558082573e-15,2.7755575615628914e-11,4.384981266980503e-11,True
48101.0,baseline,86.0,True,5.551115123125783e-17,2.7755575615628914e-11,3.2396307858562068e-12,True
48101.0,baseline,87.0,True,3.469446951953614e-18,2.7755575615628914e-11,7.811529201262601e-13,True
48101.0,baseline,88.0,True,2.7755575615628914e-17,2.7755575615628914e-11,2.891058503706745e-09,True
48101.0,baseline,89.0,True,3.4416913763379853e-15,2.7755575615628914e-11,5.549742887467346e-10,True
48101.0,baseline,90.0,True,8.326672684688674e-17,2.7755575615628914e-11,1.3267387188875546e-10,True
48101.0,baseline,91.0,True,1.5265566588595902e-16,2.7755575615628914e-11,1.0441425501994672e-11,True
48101.0,baseline,92.0,True,8.604228440844963e-16,5.551115123125783e-11,8.348877145181177e-14,True
48101.0,baseline,93.0,True,8.326672684688674e-16,5.551115123125783e-11,1.247890679678676e-13,True
48101.0,baseline,94.0,True,3.469446951953614e-16,5.551115123125783e-11,4.574118861455645e-14,True
