seed,market,scenario,root_id,p1,p2
48102,51,baseline,0,2.9804836517756907,3.175261939296843
48102,52,baseline,0,2.816638299617277,2.968589471180417
48102,53,baseline,0,2.8423576287083288,3.103610454404022
48102,54,baseline,0,2.853660522965524,2.9597438530336193
48102,55,baseline,0,2.7631283340089072,2.7884747128043514
48102,56,baseline,0,2.6400452524524916,3.123360692693949
48102,57,baseline,0,2.762213963730368,2.5432752765979982
48102,58,baseline,0,2.7811127846536112,2.583355510531477
48102,59,baseline,0,3.1891816793446446,3.1629315074816575
48102,60,baseline,0,2.8530069520271666,2.7849533382946228
48102,61,baseline,0,2.7603082923126836,3.0796095373096666
48102,62,baseline,0,2.8624089451149053,2.9505570060382262
48102,63,baseline,0,3.0790577973392037,3.0121414617746214
48102,64,baseline,0,3.1813600351090163,2.8973208862122184
48102,65,baseline,0,2.421486850494724,3.0943030483012324
48102,66,baseline,0,2.837733643944784,3.0878311466727792
48102,67,baseline,0,2.9657080163949208,2.717196079426029
48102,68,baseline,0,2.615929966843267,3.0323888802157337
48102,69,baseline,0,2.945986280506327,2.9049169853544528
48102,70,baseline,0,3.0485003864778686,2.6941326164025403
48102,71,baseline,0,2.7854817696491287,3.133434387172684
48102,72,baseline,0,2.911205636596556,2.5233886787599156
48102,73,baseline,0,2.9000781329854526,2.9568659494533542
48102,74,baseline,0,3.090317236157615,2.9214093902547758
48102,75,baseline,0,2.489708683443121,2.924711895702378
48102,76,baseline,0,2.7476552206400804,2.7530576563520426
48102,77,baseline,0,2.7297113561974444,3.1768256562625528
48102,78,baseline,0,2.8026653271355144,2.808562354122673
48102,79,baseline,0,2.558980897392465,2.7047642572860844
48102,80,baseline,0,2.819618103203745,3.3889789097894507
48102,81,baseline,0,3.1130748509045154,2.9755625832213837
48102,82,baseline,0,2.8606886760489756,3.0391627144598057
48102,83,baseline,0,2.863193576467272,2.7082472810937155
48102,84,baseline,0,2.943316670096247,2.889337814241383
48102,85,baseline,0,2.9246764625636836,2.6615996567078586
48102,86,baseline,0,2.624311765181719,2.8575165670593003
48102,87,baseline,0,2.7821415960058653,2.8743183556158405
